#YEAR DOY HR  1
2013  65 13  3
2013  65 14  3
2013  65 15  0
2013  65 16  0
2013  65 17  0
2013  65 18  3
2013  65 19  3
2013  65 20  3
2013  65 21  3
2013  65 22  3
2013  65 23  3
2013  66  0  3
2013  66  1  3
2013  66  2  3
2013  66  3  7
2013  66  4  7
2013  66  5  7
2013  66  6 10
2013  66  7 10
2013  66  8 10
2013  66  9 10
2013  66 10 10
2013  66 11 10
2013  66 12 10
2013  66 13 10
2013  66 14 10
2013  66 15  0
2013  66 16  0
2013  66 17  0
2013  66 18  0
2013  66 19  0
2013  66 20  0
2013  66 21  3
2013  66 22  3
2013  66 23  3
2013  67  0  0
2013  67  1  0
2013  67  2  0
2013  67  3  0
2013  67  4  0
2013  67  5  0
2013  67  6  3
2013  67  7  3
2013  67  8  3
2013  67  9  3
2013  67 10  3
2013  67 11  3
2013  67 12  7
2013  67 13  7
2013  67 14  7
2013  67 15  7
2013  67 16  7
2013  67 17  7
2013  67 18 13
2013  67 19 13
2013  67 20 13
2013  67 21  7
2013  67 22  7
2013  67 23  7
2013  68  0 23
2013  68  1 23
2013  68  2 23
2013  68  3 20
2013  68  4 20
2013  68  5 20
2013  68  6 13
2013  68  7 13
2013  68  8 13
2013  68  9 17
2013  68 10 17
2013  68 11 17
2013  68 12 20
2013  68 13 20
2013  68 14 20
2013  68 15 13
2013  68 16 13
2013  68 17 13
2013  68 18 17
2013  68 19 17
2013  68 20 17
2013  68 21  3
2013  68 22  3
2013  68 23  3
2013  69  0 10
2013  69  1 10
2013  69  2 10
2013  69  3  0
2013  69  4  0
2013  69  5  0
2013  69  6  7
2013  69  7  7
2013  69  8  7
2013  69  9  3
2013  69 10  3
2013  69 11  3
2013  69 12  3
2013  69 13  3
2013  69 14  3
2013  69 15 10
2013  69 16 10
2013  69 17 10
2013  69 18 10
2013  69 19 10
2013  69 20 10
2013  69 21 20
2013  69 22 20
2013  69 23 20
2013  70  0 30
2013  70  1 30
2013  70  2 30
2013  70  3 23
2013  70  4 23
2013  70  5 23
2013  70  6 13
2013  70  7 13
2013  70  8 13
2013  70  9  3
2013  70 10  3
2013  70 11  3
2013  70 12  7
2013  70 13  7
2013  70 14  7
2013  70 15  3
2013  70 16  3
2013  70 17  3
2013  70 18  3
2013  70 19  3
2013  70 20  3
2013  70 21  3
2013  70 22  3
2013  70 23  3
2013  71  0 13
2013  71  1 13
2013  71  2 13
2013  71  3 10
2013  71  4 10
2013  71  5 10
2013  71  6 13
2013  71  7 13
2013  71  8 13
2013  71  9 10
2013  71 10 10
2013  71 11 10
2013  71 12 23
2013  71 13 23
2013  71 14 23
2013  71 15 13
2013  71 16 13
2013  71 17 13
2013  71 18 20
2013  71 19 20
2013  71 20 20
2013  71 21 10
2013  71 22 10
2013  71 23 10
2013  72  0 20
2013  72  1 20
2013  72  2 20
2013  72  3  7
2013  72  4  7
2013  72  5  7
2013  72  6 10
2013  72  7 10
2013  72  8 10
2013  72  9  7
2013  72 10  7
2013  72 11  7
2013  72 12  3
2013  72 13  3
2013  72 14  3
2013  72 15  3
2013  72 16  3
2013  72 17  3
2013  72 18  7
2013  72 19  7
2013  72 20  7
2013  72 21  7
2013  72 22  7
2013  72 23  7
2013  73  0  0
2013  73  1  0
2013  73  2  0
2013  73  3  7
2013  73  4  7
2013  73  5  7
2013  73  6  0
2013  73  7  0
2013  73  8  0
2013  73  9 13
2013  73 10 13
2013  73 11 13
2013  73 12 27
2013  73 13 27
2013  73 14 27
2013  73 15 17
2013  73 16 17
2013  73 17 17
2013  73 18  7
2013  73 19  7
2013  73 20  7
2013  73 21  7
2013  73 22  7
2013  73 23  7
2013  74  0  7
2013  74  1  7
2013  74  2  7
2013  74  3 33
2013  74  4 33
2013  74  5 33
2013  74  6 23
2013  74  7 23
2013  74  8 23
2013  74  9 17
2013  74 10 17
2013  74 11 17
2013  74 12 10
2013  74 13 10
2013  74 14 10
2013  74 15  3
2013  74 16  3
2013  74 17  3
2013  74 18  3
2013  74 19  3
2013  74 20  3
2013  74 21 10
2013  74 22 10
2013  74 23 10
2013  75  0 33
2013  75  1 33
2013  75  2 33
2013  75  3 37
2013  75  4 37
2013  75  5 37
2013  75  6 27
2013  75  7 27
2013  75  8 27
2013  75  9 20
2013  75 10 20
2013  75 11 20
2013  75 12 17
2013  75 13 17
2013  75 14 17
2013  75 15 13
2013  75 16 13
2013  75 17 13
2013  75 18 17
2013  75 19 17
2013  75 20 17
2013  75 21 13
2013  75 22 13
2013  75 23 13
2013  76  0 20
2013  76  1 20
2013  76  2 20
2013  76  3 23
2013  76  4 23
2013  76  5 23
2013  76  6 67
2013  76  7 67
2013  76  8 67
2013  76  9 63
2013  76 10 63
2013  76 11 63
2013  76 12 57
2013  76 13 57
2013  76 14 57
2013  76 15 63
2013  76 16 63
2013  76 17 63
2013  76 18 67
2013  76 19 67
2013  76 20 67
2013  76 21 60
2013  76 22 60
2013  76 23 60
2013  77  0 30
2013  77  1 30
2013  77  2 30
2013  77  3 23
2013  77  4 23
2013  77  5 23
2013  77  6 20
2013  77  7 20
2013  77  8 20
2013  77  9 17
2013  77 10 17
2013  77 11 17
2013  77 12 13
2013  77 13 13
2013  77 14 13
2013  77 15  7
2013  77 16  7
2013  77 17  7
2013  77 18 17
2013  77 19 17
2013  77 20 17
2013  77 21 13
2013  77 22 13
2013  77 23 13
2013  78  0 13
2013  78  1 13
2013  78  2 13
2013  78  3 13
2013  78  4 13
2013  78  5 13
2013  78  6  7
2013  78  7  7
2013  78  8  7
2013  78  9  3
2013  78 10  3
2013  78 11  3
2013  78 12  7
2013  78 13  7
2013  78 14  7
2013  78 15  7
2013  78 16  7
2013  78 17  7
2013  78 18 17
2013  78 19 17
2013  78 20 17
2013  78 21 27
2013  78 22 27
2013  78 23 27
2013  79  0 20
2013  79  1 20
2013  79  2 20
2013  79  3 27
2013  79  4 27
2013  79  5 27
2013  79  6 17
2013  79  7 17
2013  79  8 17
2013  79  9  7
2013  79 10  7
2013  79 11  7
2013  79 12 20
2013  79 13 20
2013  79 14 20
2013  79 15 23
2013  79 16 23
2013  79 17 23
2013  79 18 27
2013  79 19 27
2013  79 20 27
2013  79 21 33
2013  79 22 33
2013  79 23 33
2013  80  0 43
2013  80  1 43
2013  80  2 43
2013  80  3 43
2013  80  4 43
2013  80  5 43
2013  80  6 37
2013  80  7 37
2013  80  8 37
2013  80  9 10
2013  80 10 10
2013  80 11 10
2013  80 12 10
2013  80 13 10
2013  80 14 10
2013  80 15  7
2013  80 16  7
2013  80 17  7
2013  80 18  7
2013  80 19  7
2013  80 20  7
2013  80 21 10
2013  80 22 10
2013  80 23 10
2013  81  0  7
2013  81  1  7
2013  81  2  7
2013  81  3  7
2013  81  4  7
2013  81  5  7
2013  81  6  3
2013  81  7  3
2013  81  8  3
2013  81  9 10
2013  81 10 10
2013  81 11 10
2013  81 12 10
2013  81 13 10
2013  81 14 10
2013  81 15 10
2013  81 16 10
2013  81 17 10
2013  81 18 20
2013  81 19 20
2013  81 20 20
2013  81 21 23
2013  81 22 23
2013  81 23 23
2013  82  0 17
2013  82  1 17
2013  82  2 17
2013  82  3  7
2013  82  4  7
2013  82  5  7
2013  82  6 13
2013  82  7 13
2013  82  8 13
2013  82  9 17
2013  82 10 17
2013  82 11 17
2013  82 12 27
2013  82 13 27
2013  82 14 27
2013  82 15 17
2013  82 16 17
2013  82 17 17
2013  82 18 33
2013  82 19 33
2013  82 20 33
2013  82 21 40
2013  82 22 40
2013  82 23 40
2013  83  0 30
2013  83  1 30
2013  83  2 30
2013  83  3 13
2013  83  4 13
2013  83  5 13
2013  83  6 13
2013  83  7 13
2013  83  8 13
2013  83  9 13
2013  83 10 13
2013  83 11 13
2013  83 12 13
2013  83 13 13
2013  83 14 13
2013  83 15 13
2013  83 16 13
2013  83 17 13
2013  83 18 10
2013  83 19 10
2013  83 20 10
2013  83 21  3
2013  83 22  3
2013  83 23  3
2013  84  0  0
2013  84  1  0
2013  84  2  0
2013  84  3  0
2013  84  4  0
2013  84  5  0
2013  84  6  7
2013  84  7  7
2013  84  8  7
2013  84  9  7
2013  84 10  7
2013  84 11  7
2013  84 12  7
2013  84 13  7
2013  84 14  7
2013  84 15  7
2013  84 16  7
2013  84 17  7
2013  84 18 17
2013  84 19 17
2013  84 20 17
2013  84 21  7
2013  84 22  7
2013  84 23  7
2013  85  0 13
2013  85  1 13
2013  85  2 13
2013  85  3  7
2013  85  4  7
2013  85  5  7
2013  85  6  3
2013  85  7  3
2013  85  8  3
2013  85  9  7
2013  85 10  7
2013  85 11  7
2013  85 12  7
2013  85 13  7
2013  85 14  7
2013  85 15  3
2013  85 16  3
2013  85 17  3
2013  85 18  3
2013  85 19  3
2013  85 20  3
2013  85 21  0
2013  85 22  0
2013  85 23  0
2013  86  0 17
2013  86  1 17
2013  86  2 17
2013  86  3 27
2013  86  4 27
2013  86  5 27
2013  86  6 27
2013  86  7 27
2013  86  8 27
2013  86  9 30
2013  86 10 30
2013  86 11 30
2013  86 12 30
2013  86 13 30
2013  86 14 30
2013  86 15 50
2013  86 16 50
2013  86 17 50
2013  86 18 33
2013  86 19 33
2013  86 20 33
2013  86 21 43
2013  86 22 43
2013  86 23 43
2013  87  0 40
2013  87  1 40
2013  87  2 40
2013  87  3 17
2013  87  4 17
2013  87  5 17
2013  87  6 10
2013  87  7 10
2013  87  8 10
2013  87  9 20
2013  87 10 20
2013  87 11 20
2013  87 12 13
2013  87 13 13
2013  87 14 13
2013  87 15 30
2013  87 16 30
2013  87 17 30
2013  87 18 20
2013  87 19 20
2013  87 20 20
2013  87 21 23
2013  87 22 23
2013  87 23 23
2013  88  0 33
2013  88  1 33
2013  88  2 33
2013  88  3 37
2013  88  4 37
2013  88  5 37
2013  88  6 47
2013  88  7 47
2013  88  8 47
2013  88  9 40
2013  88 10 40
2013  88 11 40
2013  88 12 37
2013  88 13 37
2013  88 14 37
2013  88 15 53
2013  88 16 53
2013  88 17 53
2013  88 18 37
2013  88 19 37
2013  88 20 37
2013  88 21 30
2013  88 22 30
2013  88 23 30
2013  89  0 50
2013  89  1 50
2013  89  2 50
2013  89  3 50
2013  89  4 50
2013  89  5 50
2013  89  6 23
2013  89  7 23
2013  89  8 23
2013  89  9 17
2013  89 10 17
2013  89 11 17
2013  89 12 20
2013  89 13 20
2013  89 14 20
2013  89 15 10
2013  89 16 10
2013  89 17 10
2013  89 18 33
2013  89 19 33
2013  89 20 33
2013  89 21 23
2013  89 22 23
2013  89 23 23
2013  90  0 13
2013  90  1 13
2013  90  2 13
2013  90  3  7
2013  90  4  7
2013  90  5  7
2013  90  6  7
2013  90  7  7
2013  90  8  7
2013  90  9  3
2013  90 10  3
2013  90 11  3
2013  90 12  7
2013  90 13  7
2013  90 14  7
2013  90 15 10
2013  90 16 10
2013  90 17 10
2013  90 18 17
2013  90 19 17
2013  90 20 17
2013  90 21 20
2013  90 22 20
2013  90 23 20
2013  91  0 10
2013  91  1 10
2013  91  2 10
2013  91  3 17
2013  91  4 17
2013  91  5 17
2013  91  6 17
2013  91  7 17
2013  91  8 17
2013  91  9 13
2013  91 10 13
2013  91 11 13
2013  91 12 10
2013  91 13 10
2013  91 14 10
2013  91 15 10
2013  91 16 10
2013  91 17 10
2013  91 18  7
2013  91 19  7
2013  91 20  7
2013  91 21 20
2013  91 22 20
2013  91 23 20
2013  92  0 20
2013  92  1 20
2013  92  2 20
2013  92  3  3
2013  92  4  3
2013  92  5  3
2013  92  6  3
2013  92  7  3
2013  92  8  3
2013  92  9  0
2013  92 10  0
2013  92 11  0
2013  92 12  3
2013  92 13  3
2013  92 14  3
2013  92 15  7
2013  92 16  7
2013  92 17  7
2013  92 18 10
2013  92 19 10
2013  92 20 10
2013  92 21 17
2013  92 22 17
2013  92 23 17
2013  93  0  3
2013  93  1  3
2013  93  2  3
2013  93  3  3
2013  93  4  3
2013  93  5  3
2013  93  6  3
2013  93  7  3
2013  93  8  3
2013  93  9  3
2013  93 10  3
2013  93 11  3
2013  93 12  7
2013  93 13  7
2013  93 14  7
2013  93 15  3
2013  93 16  3
2013  93 17  3
2013  93 18  3
2013  93 19  3
2013  93 20  3
2013  93 21 13
2013  93 22 13
2013  93 23 13
2013  94  0 17
2013  94  1 17
2013  94  2 17
2013  94  3 20
2013  94  4 20
2013  94  5 20
2013  94  6  7
2013  94  7  7
2013  94  8  7
2013  94  9 10
2013  94 10 10
2013  94 11 10
2013  94 12 10
2013  94 13 10
2013  94 14 10
2013  94 15  7
2013  94 16  7
2013  94 17  7
2013  94 18  7
2013  94 19  7
2013  94 20  7
2013  94 21  3
2013  94 22  3
2013  94 23  3
2013  95  0  0
2013  95  1  0
2013  95  2  0
2013  95  3  3
2013  95  4  3
2013  95  5  3
2013  95  6  3
2013  95  7  3
2013  95  8  3
2013  95  9  3
2013  95 10  3
2013  95 11  3
2013  95 12  7
2013  95 13  7
2013  95 14  7
2013  95 15  3
2013  95 16  3
2013  95 17  3
2013  95 18 13
2013  95 19 13
2013  95 20 13
2013  95 21 13
2013  95 22 13
2013  95 23 13
2013  96  0 13
2013  96  1 13
2013  96  2 13
2013  96  3 13
2013  96  4 13
2013  96  5 13
2013  96  6 17
2013  96  7 17
2013  96  8 17
2013  96  9 13
2013  96 10 13
2013  96 11 13
2013  96 12 13
2013  96 13 13
2013  96 14 13
2013  96 15  7
2013  96 16  7
2013  96 17  7
2013  96 18 10
2013  96 19 10
2013  96 20 10
2013  96 21 13
2013  96 22 13
2013  96 23 13
2013  97  0 10
2013  97  1 10
2013  97  2 10
2013  97  3 17
2013  97  4 17
2013  97  5 17
2013  97  6 10
2013  97  7 10
2013  97  8 10
2013  97  9 10
2013  97 10 10
2013  97 11 10
2013  97 12 20
2013  97 13 20
2013  97 14 20
2013  97 15 17
2013  97 16 17
2013  97 17 17
2013  97 18 13
2013  97 19 13
2013  97 20 13
2013  97 21  0
2013  97 22  0
2013  97 23  0
2013  98  0  0
2013  98  1  0
2013  98  2  0
2013  98  3  3
2013  98  4  3
2013  98  5  3
2013  98  6  7
2013  98  7  7
2013  98  8  7
2013  98  9  3
2013  98 10  3
2013  98 11  3
2013  98 12  7
2013  98 13  7
2013  98 14  7
2013  98 15  7
2013  98 16  7
2013  98 17  7
2013  98 18  3
2013  98 19  3
2013  98 20  3
2013  98 21  3
2013  98 22  3
2013  98 23  3
2013  99  0 13
2013  99  1 13
2013  99  2 13
2013  99  3 13
2013  99  4 13
2013  99  5 13
2013  99  6  3
2013  99  7  3
2013  99  8  3
2013  99  9 13
2013  99 10 13
2013  99 11 13
2013  99 12  3
2013  99 13  3
2013  99 14  3
2013  99 15  7
2013  99 16  7
2013  99 17  7
2013  99 18  7
2013  99 19  7
2013  99 20  7
2013  99 21  3
2013  99 22  3
2013  99 23  3
2013 100  0  3
2013 100  1  3
2013 100  2  3
2013 100  3 10
2013 100  4 10
2013 100  5 10
2013 100  6 13
2013 100  7 13
2013 100  8 13
2013 100  9 13
2013 100 10 13
2013 100 11 13
2013 100 12 13
2013 100 13 13
2013 100 14 13
2013 100 15  7
2013 100 16  7
2013 100 17  7
2013 100 18  7
2013 100 19  7
2013 100 20  7
2013 100 21 23
2013 100 22 23
2013 100 23 23
2013 101  0  3
2013 101  1  3
2013 101  2  3
2013 101  3  3
2013 101  4  3
2013 101  5  3
2013 101  6  7
2013 101  7  7
2013 101  8  7
2013 101  9 13
2013 101 10 13
2013 101 11 13
2013 101 12 10
2013 101 13 10
2013 101 14 10
2013 101 15 13
2013 101 16 13
2013 101 17 13
2013 101 18  7
2013 101 19  7
2013 101 20  7
2013 101 21 20
2013 101 22 20
2013 101 23 20
2013 102  0 20
2013 102  1 20
2013 102  2 20
2013 102  3 17
2013 102  4 17
2013 102  5 17
2013 102  6 13
2013 102  7 13
2013 102  8 13
2013 102  9 10
2013 102 10 10
2013 102 11 10
2013 102 12 13
2013 102 13 13
2013 102 14 13
2013 102 15  7
2013 102 16  7
2013 102 17  7
2013 102 18  3
2013 102 19  3
2013 102 20  3
2013 102 21  3
2013 102 22  3
2013 102 23  3
2013 103  0 20
2013 103  1 20
2013 103  2 20
2013 103  3 23
2013 103  4 23
2013 103  5 23
2013 103  6  7
2013 103  7  7
2013 103  8  7
2013 103  9 13
2013 103 10 13
2013 103 11 13
2013 103 12  7
2013 103 13  7
2013 103 14  7
2013 103 15  7
2013 103 16  7
2013 103 17  7
2013 103 18  3
2013 103 19  3
2013 103 20  3
2013 103 21 30
2013 103 22 30
2013 103 23 30
2013 104  0 27
2013 104  1 27
2013 104  2 27
2013 104  3 33
2013 104  4 33
2013 104  5 33
2013 104  6 33
2013 104  7 33
2013 104  8 33
2013 104  9 27
2013 104 10 27
2013 104 11 27
2013 104 12 23
2013 104 13 23
2013 104 14 23
2013 104 15 30
2013 104 16 30
2013 104 17 30
2013 104 18 17
2013 104 19 17
2013 104 20 17
2013 104 21 20
2013 104 22 20
2013 104 23 20
2013 105  0 10
2013 105  1 10
2013 105  2 10
2013 105  3 13
2013 105  4 13
2013 105  5 13
2013 105  6 10
2013 105  7 10
2013 105  8 10
2013 105  9  3
2013 105 10  3
2013 105 11  3
2013 105 12 10
2013 105 13 10
2013 105 14 10
2013 105 15  0
2013 105 16  0
2013 105 17  0
2013 105 18 30
2013 105 19 30
2013 105 20 30
2013 105 21 20
2013 105 22 20
2013 105 23 20
2013 106  0 10
2013 106  1 10
2013 106  2 10
2013 106  3  0
2013 106  4  0
2013 106  5  0
2013 106  6  0
2013 106  7  0
2013 106  8  0
2013 106  9  0
2013 106 10  0
2013 106 11  0
2013 106 12  0
2013 106 13  0
2013 106 14  0
2013 106 15 10
2013 106 16 10
2013 106 17 10
2013 106 18 17
2013 106 19 17
2013 106 20 17
2013 106 21 20
2013 106 22 20
2013 106 23 20
2013 107  0  7
2013 107  1  7
2013 107  2  7
2013 107  3  7
2013 107  4  7
2013 107  5  7
2013 107  6  7
2013 107  7  7
2013 107  8  7
2013 107  9  3
2013 107 10  3
2013 107 11  3
2013 107 12  7
2013 107 13  7
2013 107 14  7
2013 107 15  3
2013 107 16  3
2013 107 17  3
2013 107 18  0
2013 107 19  0
2013 107 20  0
2013 107 21  3
2013 107 22  3
2013 107 23  3
2013 108  0 10
2013 108  1 10
2013 108  2 10
2013 108  3  0
2013 108  4  0
2013 108  5  0
2013 108  6  3
2013 108  7  3
2013 108  8  3
2013 108  9  3
2013 108 10  3
2013 108 11  3
2013 108 12  3
2013 108 13  3
2013 108 14  3
2013 108 15  3
2013 108 16  3
2013 108 17  3
2013 108 18  7
2013 108 19  7
2013 108 20  7
2013 108 21  0
2013 108 22  0
2013 108 23  0
2013 109  0  0
2013 109  1  0
2013 109  2  0
2013 109  3  0
2013 109  4  0
2013 109  5  0
2013 109  6  0
2013 109  7  0
2013 109  8  0
2013 109  9  0
2013 109 10  0
2013 109 11  0
2013 109 12  3
2013 109 13  3
2013 109 14  3
2013 109 15  0
2013 109 16  0
2013 109 17  0
2013 109 18  3
2013 109 19  3
2013 109 20  3
2013 109 21  3
2013 109 22  3
2013 109 23  3
2013 110  0  3
2013 110  1  3
2013 110  2  3
2013 110  3  0
2013 110  4  0
2013 110  5  0
2013 110  6  7
2013 110  7  7
2013 110  8  7
2013 110  9 13
2013 110 10 13
2013 110 11 13
2013 110 12 20
2013 110 13 20
2013 110 14 20
2013 110 15  7
2013 110 16  7
2013 110 17  7
2013 110 18  0
2013 110 19  0
2013 110 20  0
2013 110 21  7
2013 110 22  7
2013 110 23  7
2013 111  0  0
2013 111  1  0
2013 111  2  0
2013 111  3  3
2013 111  4  3
2013 111  5  3
2013 111  6  3
2013 111  7  3
2013 111  8  3
2013 111  9  3
2013 111 10  3
2013 111 11  3
2013 111 12  3
2013 111 13  3
2013 111 14  3
2013 111 15 13
2013 111 16 13
2013 111 17 13
2013 111 18  7
2013 111 19  7
2013 111 20  7
2013 111 21  3
2013 111 22  3
2013 111 23  3
2013 112  0 17
2013 112  1 17
2013 112  2 17
2013 112  3 17
2013 112  4 17
2013 112  5 17
2013 112  6  3
2013 112  7  3
2013 112  8  3
2013 112  9  7
2013 112 10  7
2013 112 11  7
2013 112 12 10
2013 112 13 10
2013 112 14 10
2013 112 15 10
2013 112 16 10
2013 112 17 10
2013 112 18  3
2013 112 19  3
2013 112 20  3
2013 112 21  7
2013 112 22  7
2013 112 23  7
2013 113  0  3
2013 113  1  3
2013 113  2  3
2013 113  3 10
2013 113  4 10
2013 113  5 10
2013 113  6 10
2013 113  7 10
2013 113  8 10
2013 113  9 13
2013 113 10 13
2013 113 11 13
2013 113 12 13
2013 113 13 13
2013 113 14 13
2013 113 15 23
2013 113 16 23
2013 113 17 23
2013 113 18 20
2013 113 19 20
2013 113 20 20
2013 113 21 27
2013 113 22 27
2013 113 23 27
2013 114  0 37
2013 114  1 37
2013 114  2 37
2013 114  3 30
2013 114  4 30
2013 114  5 30
2013 114  6 23
2013 114  7 23
2013 114  8 23
2013 114  9 40
2013 114 10 40
2013 114 11 40
2013 114 12 47
2013 114 13 47
2013 114 14 47
2013 114 15 33
2013 114 16 33
2013 114 17 33
2013 114 18 50
2013 114 19 50
2013 114 20 50
2013 114 21 30
2013 114 22 30
2013 114 23 30
2013 115  0 30
2013 115  1 30
2013 115  2 30
2013 115  3 23
2013 115  4 23
2013 115  5 23
2013 115  6 13
2013 115  7 13
2013 115  8 13
2013 115  9 27
2013 115 10 27
2013 115 11 27
2013 115 12 23
2013 115 13 23
2013 115 14 23
2013 115 15 27
2013 115 16 27
2013 115 17 27
2013 115 18 27
2013 115 19 27
2013 115 20 27
2013 115 21 17
2013 115 22 17
2013 115 23 17
2013 116  0 30
2013 116  1 30
2013 116  2 30
2013 116  3 47
2013 116  4 47
2013 116  5 47
2013 116  6 30
2013 116  7 30
2013 116  8 30
2013 116  9 30
2013 116 10 30
2013 116 11 30
2013 116 12 27
2013 116 13 27
2013 116 14 27
2013 116 15 30
2013 116 16 30
2013 116 17 30
2013 116 18 27
2013 116 19 27
2013 116 20 27
2013 116 21 33
2013 116 22 33
2013 116 23 33
2013 117  0 23
2013 117  1 23
2013 117  2 23
2013 117  3 20
2013 117  4 20
2013 117  5 20
2013 117  6 17
2013 117  7 17
2013 117  8 17
2013 117  9 10
2013 117 10 10
2013 117 11 10
2013 117 12 13
2013 117 13 13
2013 117 14 13
2013 117 15 17
2013 117 16 17
2013 117 17 17
2013 117 18  7
2013 117 19  7
2013 117 20  7
2013 117 21 13
2013 117 22 13
2013 117 23 13
2013 118  0  3
2013 118  1  3
2013 118  2  3
2013 118  3  0
2013 118  4  0
2013 118  5  0
2013 118  6  3
2013 118  7  3
2013 118  8  3
2013 118  9 17
2013 118 10 17
2013 118 11 17
2013 118 12 23
2013 118 13 23
2013 118 14 23
2013 118 15 20
2013 118 16 20
2013 118 17 20
2013 118 18 20
2013 118 19 20
2013 118 20 20
2013 118 21 20
2013 118 22 20
2013 118 23 20
2013 119  0 27
2013 119  1 27
2013 119  2 27
2013 119  3  3
2013 119  4  3
2013 119  5  3
2013 119  6  7
2013 119  7  7
2013 119  8  7
2013 119  9  3
2013 119 10  3
2013 119 11  3
2013 119 12 10
2013 119 13 10
2013 119 14 10
2013 119 15  0
2013 119 16  0
2013 119 17  0
2013 119 18  7
2013 119 19  7
2013 119 20  7
2013 119 21 13
2013 119 22 13
2013 119 23 13
2013 120  0 13
2013 120  1 13
2013 120  2 13
2013 120  3  7
2013 120  4  7
2013 120  5  7
2013 120  6 10
2013 120  7 10
2013 120  8 10
2013 120  9 17
2013 120 10 17
2013 120 11 17
2013 120 12 17
2013 120 13 17
2013 120 14 17
2013 120 15 13
2013 120 16 13
2013 120 17 13
2013 120 18  7
2013 120 19  7
2013 120 20  7
2013 120 21 27
2013 120 22 27
2013 120 23 27
2013 121  0 27
2013 121  1 27
2013 121  2 27
2013 121  3 30
2013 121  4 30
2013 121  5 30
2013 121  6 47
2013 121  7 47
2013 121  8 47
2013 121  9 37
2013 121 10 37
2013 121 11 37
2013 121 12 47
2013 121 13 47
2013 121 14 47
2013 121 15 33
2013 121 16 33
2013 121 17 33
2013 121 18 57
2013 121 19 57
2013 121 20 57
2013 121 21 33
2013 121 22 33
2013 121 23 33
2013 122  0 33
2013 122  1 33
2013 122  2 33
2013 122  3 37
2013 122  4 37
2013 122  5 37
2013 122  6 20
2013 122  7 20
2013 122  8 20
2013 122  9 17
2013 122 10 17
2013 122 11 17
2013 122 12 10
2013 122 13 10
2013 122 14 10
2013 122 15 17
2013 122 16 17
2013 122 17 17
2013 122 18 30
2013 122 19 30
2013 122 20 30
2013 122 21 17
2013 122 22 17
2013 122 23 17
2013 123  0 17
2013 123  1 17
2013 123  2 17
2013 123  3 13
2013 123  4 13
2013 123  5 13
2013 123  6 10
2013 123  7 10
2013 123  8 10
2013 123  9  7
2013 123 10  7
2013 123 11  7
2013 123 12 13
2013 123 13 13
2013 123 14 13
2013 123 15 20
2013 123 16 20
2013 123 17 20
2013 123 18 17
2013 123 19 17
2013 123 20 17
2013 123 21  7
2013 123 22  7
2013 123 23  7
2013 124  0 13
2013 124  1 13
2013 124  2 13
2013 124  3  7
2013 124  4  7
2013 124  5  7
2013 124  6 13
2013 124  7 13
2013 124  8 13
2013 124  9 13
2013 124 10 13
2013 124 11 13
2013 124 12 13
2013 124 13 13
2013 124 14 13
2013 124 15 17
2013 124 16 17
2013 124 17 17
2013 124 18 13
2013 124 19 13
2013 124 20 13
2013 124 21 17
2013 124 22 17
2013 124 23 17
2013 125  0 20
2013 125  1 20
2013 125  2 20
2013 125  3 20
2013 125  4 20
2013 125  5 20
2013 125  6 17
2013 125  7 17
2013 125  8 17
2013 125  9 13
2013 125 10 13
2013 125 11 13
2013 125 12 20
2013 125 13 20
2013 125 14 20
2013 125 15 33
2013 125 16 33
2013 125 17 33
2013 125 18 17
2013 125 19 17
2013 125 20 17
2013 125 21  3
2013 125 22  3
2013 125 23  3
2013 126  0 13
2013 126  1 13
2013 126  2 13
2013 126  3 10
2013 126  4 10
2013 126  5 10
2013 126  6 23
2013 126  7 23
2013 126  8 23
2013 126  9 23
2013 126 10 23
2013 126 11 23
2013 126 12 17
2013 126 13 17
2013 126 14 17
2013 126 15 20
2013 126 16 20
2013 126 17 20
2013 126 18 20
2013 126 19 20
2013 126 20 20
2013 126 21 23
2013 126 22 23
2013 126 23 23
2013 127  0 30
2013 127  1 30
2013 127  2 30
2013 127  3 27
2013 127  4 27
2013 127  5 27
2013 127  6 27
2013 127  7 27
2013 127  8 27
2013 127  9 23
2013 127 10 23
2013 127 11 23
2013 127 12 20
2013 127 13 20
2013 127 14 20
2013 127 15 17
2013 127 16 17
2013 127 17 17
2013 127 18 17
2013 127 19 17
2013 127 20 17
2013 127 21  7
2013 127 22  7
2013 127 23  7
2013 128  0 30
2013 128  1 30
2013 128  2 30
2013 128  3 17
2013 128  4 17
2013 128  5 17
2013 128  6 17
2013 128  7 17
2013 128  8 17
2013 128  9 10
2013 128 10 10
2013 128 11 10
2013 128 12 13
2013 128 13 13
2013 128 14 13
2013 128 15 17
2013 128 16 17
2013 128 17 17
2013 128 18 13
2013 128 19 13
2013 128 20 13
2013 128 21 13
2013 128 22 13
2013 128 23 13
2013 129  0 13
2013 129  1 13
2013 129  2 13
2013 129  3 13
2013 129  4 13
2013 129  5 13
2013 129  6 10
2013 129  7 10
2013 129  8 10
2013 129  9 13
2013 129 10 13
2013 129 11 13
2013 129 12  7
2013 129 13  7
2013 129 14  7
2013 129 15  7
2013 129 16  7
2013 129 17  7
2013 129 18  3
2013 129 19  3
2013 129 20  3
2013 129 21  3
2013 129 22  3
2013 129 23  3
2013 130  0 10
2013 130  1 10
2013 130  2 10
2013 130  3 13
2013 130  4 13
2013 130  5 13
2013 130  6  7
