2012   1  0 17
2012   1  1 17
2012   1  2 17
2012   1  3 10
2012   1  4 10
2012   1  5 10
2012   1  6  7
2012   1  7  7
2012   1  8  7
2012   1  9  3
2012   1 10  3
2012   1 11  3
2012   1 12 17
2012   1 13 17
2012   1 14 17
2012   1 15 17
2012   1 16 17
2012   1 17 17
2012   1 18 13
2012   1 19 13
2012   1 20 13
2012   1 21 10
2012   1 22 10
2012   1 23 10
2012   2  0  0
2012   2  1  0
2012   2  2  0
2012   2  3  0
2012   2  4  0
2012   2  5  0
2012   2  6  3
2012   2  7  3
2012   2  8  3
2012   2  9  0
2012   2 10  0
2012   2 11  0
2012   2 12 13
2012   2 13 13
2012   2 14 13
2012   2 15 10
2012   2 16 10
2012   2 17 10
2012   2 18 23
2012   2 19 23
2012   2 20 23
2012   2 21 23
2012   2 22 23
2012   2 23 23
2012   3  0 33
2012   3  1 33
2012   3  2 33
2012   3  3 37
2012   3  4 37
2012   3  5 37
2012   3  6 17
2012   3  7 17
2012   3  8 17
2012   3  9 13
2012   3 10 13
2012   3 11 13
2012   3 12 13
2012   3 13 13
2012   3 14 13
2012   3 15 17
2012   3 16 17
2012   3 17 17
2012   3 18 10
2012   3 19 10
2012   3 20 10
2012   3 21 10
2012   3 22 10
2012   3 23 10
2012   4  0 17
2012   4  1 17
2012   4  2 17
2012   4  3  0
2012   4  4  0
2012   4  5  0
2012   4  6  0
2012   4  7  0
2012   4  8  0
2012   4  9  0
2012   4 10  0
2012   4 11  0
2012   4 12  7
2012   4 13  7
2012   4 14  7
2012   4 15  3
2012   4 16  3
2012   4 17  3
2012   4 18  3
2012   4 19  3
2012   4 20  3
2012   4 21  7
2012   4 22  7
2012   4 23  7
2012   5  0 10
2012   5  1 10
2012   5  2 10
2012   5  3 10
2012   5  4 10
2012   5  5 10
2012   5  6  7
2012   5  7  7
2012   5  8  7
2012   5  9  7
2012   5 10  7
2012   5 11  7
2012   5 12 27
2012   5 13 27
2012   5 14 27
2012   5 15 10
2012   5 16 10
2012   5 17 10
2012   5 18 17
2012   5 19 17
2012   5 20 17
2012   5 21  7
2012   5 22  7
2012   5 23  7
2012   6  0 10
2012   6  1 10
2012   6  2 10
2012   6  3  7
2012   6  4  7
2012   6  5  7
2012   6  6  7
2012   6  7  7
2012   6  8  7
2012   6  9 13
2012   6 10 13
2012   6 11 13
2012   6 12 10
